driver_id,trip_id,source_file,accel_magnitude,jerk,speed,latitude,longitude,altitude,heart_rate,acceleration
alonso,20231229_151643,20231229_151643_col.csv,0.0,0.0,0.0,-0.297953,-78.460449,,,0.0
alonso,20231229_151643,20231229_151643_col.csv,0.0,0.0,0.0,-0.297953,-78.460449,,,0.0
alonso,20231229_151643,20231229_151643_col.csv,0.0,0.0,0.0,-0.297953,-78.460449,,,0.0
alonso,20231229_151643,20231229_151643_col.csv,0.0,0.0,0.0,-0.29809,-78.460563,2486.09985351563,80.0,0.0
alonso,20231229_151643,20231229_151643_col.csv,0.0,0.0,0.0,-0.29809,-78.460563,2493.0,,0.0
andres,20231230_081200,20231230_081200_col.csv,0.35,0.12,12.5,-0.295123,-78.458901,2450.0,75.0,0.35
andres,20231230_081200,20231230_081200_col.csv,0.42,0.18,14.2,-0.295089,-78.458845,2451.0,76.0,0.42
andres,20231230_081200,20231230_081200_col.csv,0.28,-0.08,13.8,-0.295067,-78.458812,2452.0,77.0,0.28
furious,20231231_143000,20231231_143000_col.csv,0.65,0.35,18.5,-0.298765,-78.462345,2480.0,82.0,0.65
furious,20231231_143000,20231231_143000_col.csv,0.78,0.42,20.1,-0.298712,-78.462289,2481.0,84.0,0.78
furious,20231231_143000,20231231_143000_col.csv,0.52,-0.25,19.5,-0.298678,-78.462234,2482.0,83.0,0.52
labeled,20240101_090500,20240101_090500_col.csv,0.18,0.05,8.5,-0.293456,-78.455678,2430.0,70.0,0.18
labeled,20240101_090500,20240101_090500_col.csv,0.22,0.08,9.2,-0.293412,-78.455623,2431.0,71.0,0.22
pablo,20240102_175000,20240102_175000_col.csv,0.45,0.22,15.8,-0.296789,-78.460123,2465.0,78.0,0.45
pablo,20240102_175000,20240102_175000_col.csv,0.55,0.28,16.5,-0.296745,-78.460078,2466.0,79.0,0.55
richard,20240103_120000,20240103_120000_col.csv,0.38,0.15,11.2,-0.294567,-78.457890,2445.0,74.0,0.38
richard,20240103_120000,20240103_120000_col.csv,0.48,0.20,12.8,-0.294523,-78.457845,2446.0,75.0,0.48
yolanda,20240104_083000,20240104_083000_col.csv,0.32,0.10,10.5,-0.292345,-78.454567,2420.0,72.0,0.32
yolanda,20240104_083000,20240104_083000_col.csv,0.40,0.16,11.8,-0.292301,-78.454512,2421.0,73.0,0.40
